file,current,canonical
Arza-etal2022.qmd,Latin American Politics,Latin America
Barahona-etal2023-Skin-in-the-Game.qmd,Student Loans,Student Finance
Barberia-etal2026.qmd,Descentralização,Decentralization
Barberia-etal2026.qmd,Desigualdade Regional,Regional Inequality
Barberia-etal2026.qmd,Economia Política Comparada,Political Economy
Barberia-etal2026.qmd,Federalismo,Federalism
Barberia-etal2026.qmd,Pandemia COVID-19,COVID-19 Pandemic
Barberia-etal2026.qmd,Política Educacional,Education Policy
Barbosa-Gandin2020.qmd,Politics of Education,Education Policy
Bartels2023.qmd,Comparative,Comparative Politics
Bogliaccini-Madariaga2024.qmd,América Latina,Latin America
Bogliaccini-Madariaga2024.qmd,Economia Política Comparada,Political Economy
Bogliaccini-Madariaga2024.qmd,Economias Periféricas,Peripheral Economies
Bogliaccini-Madariaga2024.qmd,Estratégias Distributivas,Redistribution
Bogliaccini-Madariaga2024.qmd,Modelos de Crescimento,Economic Growth
Bogliaccini-Madariaga2024.qmd,Restrição do Balanço de Pagamentos,Peripheral Economies
Colistete2014.qmd,Politics of Education,Education Policy
CostaRibeiro2023.qmd,Brasil,Brazil
CostaRibeiro2023.qmd,Economia Política Comparada,Political Economy
CostaRibeiro2023.qmd,Educação e Desigualdade,Educational Inequality
CostaRibeiro2023.qmd,Estratificação Social,Social Stratification
CostaRibeiro2023.qmd,Mobilidade Social,Social Mobility
CostaRibeiro2023.qmd,Métodos Quantitativos,Quantitative Methods
Cunha2003.qmd,Brazilian Education,Education Policy
Durham2003vPerplecity.qmd,Brasil,Brazil
Durham2003vPerplecity.qmd,Educação superior,Higher Education
Durham2003vPerplecity.qmd,História institucional,Historical Institutionalism
Durham2003vPerplecity.qmd,Política educacional,Education Policy
Durham2003vPerplecity.qmd,Setor público e privado,Privatization
Durham2005.qmd,Brazilian Higher Education,Higher Education
Durham2005.qmd,Historical Institutional Analysis,Historical Institutionalism
Durham2005.qmd,Mass Private Sector,Privatization
Durham2005.qmd,Public vs. Private,Privatization
Fairfield-Charman2017.qmd,Bayesianismo,Bayesianism
Fairfield-Charman2017.qmd,Ciência Política,Comparative Politics
Fairfield-Charman2017.qmd,Inferência Causal,Causal Inference
Fairfield-Charman2017.qmd,Metodologia Qualitativa,Qualitative Methods
Fairfield2013.qmd,Latin American Studies,Latin America
Feinmann-Rocha2026.qmd,Brasil,Brazil
Feinmann-Rocha2026.qmd,Desigualdade,Inequality
Feinmann-Rocha2026.qmd,Economia da Educação,Economics of Education
Feinmann-Rocha2026.qmd,Mobilidade Social,Social Mobility
Feinmann-Rocha2026.qmd,Métodos Quantitativos,Quantitative Methods
Feinmann-Rocha2026.qmd,Política Pública,Public Policy
Fernandes-etal2024.qmd,Acaparamiento de tierras,Land Conflicts
Fernandes-etal2024.qmd,Conflitos territoriais,Land Conflicts
Fernandes-etal2024.qmd,Extrativismo energético,Energy Extraction
Fernandes-etal2024.qmd,Geografia,Geospatial Analysis
Ferre2023v13-DeepSeek.qmd,Comparative Political Economy,Political Economy
Ferre2024.qmd,Comparative Political Economy,Political Economy
Filgueira2005.qmd,Comparative Political Economy,Political Economy
Fulge2022.qmd,Politics of Education,Education Policy
Garritzmann-Seng2026.qmd,Comparative,Comparative Politics
Garritzmann-Seng2026.qmd,Politics of Education,Education Policy
Garritzmann-etal2021.qmd,Comparative Political Economy,Political Economy
Garritzmann2026.qmd,Economia Política Comparada,Political Economy
Garritzmann2026.qmd,Institucionalismo Histórico,Historical Institutionalism
Garritzmann2026.qmd,Política da Educação,Education Policy
Garritzmann2026.qmd,Sociologia Política,Political Sociology
Garritzmann2026.qmd,Teoria de Clivagens,Party Politics
Gingrich-Giudici2023-2026-04-18.qmd,Comparative,Comparative Politics
Gingrich-Giudici2023-2026-04-18.qmd,Politics of Education,Education Policy
Gingrich-Giudici2025 Who Polarises.qmd,Politics of Education,Education Policy
Gomes2024.qmd,Análise de Governos Partidários,Party Politics
Gomes2024.qmd,Ciência Política,Comparative Politics
Gomes2024.qmd,Educação Superior,Higher Education
Gomes2024.qmd,Políticas Públicas,Public Policy
